Freelancer_ID,Skills,Experience_Level,Years_of_Experience,Description,Budget_Hourly,Budget_Project,Location
F0044,"Writing & Content Creation: article writing, content seo, content strategy; General: agile",Entry Level,9,"Entry Level Writing & Content Creation professional with experience in article writing, content seo, content strategy.",8,$330-$885,Pune
F0045,"Education & Training: elearning, course; General: sql, api",Entry Level,4,"Entry Level Education & Training professional with experience in elearning, course.",6,$451-$537,Bangalore
F0046,"Graphic & Visual Design: photo manipulation, branding; General: ",Expert,5,"Expert Graphic & Visual Design professional with experience in photo manipulation, branding.",35,$2618-$7896,Delhi
F0047,"Mobile Development: ios, swift, hybrid app development; General: ",Expert,3,"Expert Mobile Development professional with experience in ios, swift, hybrid app development.",57,$2887-$9909,Chennai
F0048,"Education & Training: teaching spanish, educational technology, program evaluation, life coaching; General: project management",Intermediate,4,"Intermediate Education & Training professional with experience in teaching spanish, educational technology, program evaluation, life coaching.",17,$804-$2962,Mumbai
F0049,"Project Management: project timelines, project finance, project delivery, lean consulting; General: agile, project management",Expert,12,"Expert Project Management professional with experience in project timelines, project finance, project delivery, lean consulting.",74,$1520-$6140,Delhi
F0050,"Education & Training: curriculum development, academic researcher, coaching, bilingual education; General: project management, api",Expert,4,"Expert Education & Training professional with experience in curriculum development, academic researcher, coaching, bilingual education.",49,$3838-$8438,Bangalore
F0051,"Data Science: feature extraction, machine learning; General: git, agile",Intermediate,7,"Intermediate Data Science professional with experience in feature extraction, machine learning.",30,$1323-$1845,Bangalore
F0052,"Mobile Development: android, flutter; General: agile, project management",Entry Level,4,"Entry Level Mobile Development professional with experience in android, flutter.",5,$340-$994,Mumbai
F0053,"Data Science: etl pipeline, data segmentation, rapidminer, artificial neural network; General: api, project management",Intermediate,7,"Intermediate Data Science professional with experience in etl pipeline, data segmentation, rapidminer, artificial neural network.",19,$1272-$1654,Bangalore
F0054,"Writing & Content Creation: ebook writing, copywriting; General: project management",Intermediate,6,"Intermediate Writing & Content Creation professional with experience in ebook writing, copywriting.",28,$1458-$2019,Chennai
F0055,"Business & Consulting: interpersonal skills, business process reengineering; General: agile",Entry Level,7,"Entry Level Business & Consulting professional with experience in interpersonal skills, business process reengineering.",10,$498-$913,Kolkata
F0056,"Database Management: sql, sql programming; General: project management, sql",Entry Level,2,"Entry Level Database Management professional with experience in sql, sql programming.",15,$397-$657,Delhi
F0057,"Web Development: restful api, api integration; General: agile, api",Entry Level,3,"Entry Level Web Development professional with experience in restful api, api integration.",7,$375-$689,Pune
F0058,"Data Science: tableau, data wrangling; General: ",Entry Level,1,"Entry Level Data Science professional with experience in tableau, data wrangling.",9,$151-$967,Pune
F0059,"Writing & Content Creation: blog writing, content writing; General: project management, git",Expert,5,"Expert Writing & Content Creation professional with experience in blog writing, content writing.",71,$2113-$5869,Pune
F0060,"Project Management: digital project management, project management office; General: ",Expert,6,"Expert Project Management professional with experience in digital project management, project management office.",55,$2490-$9558,Mumbai
F0061,"Writing & Content Creation: journalism writing, technical writing; General: ",Expert,9,"Expert Writing & Content Creation professional with experience in journalism writing, technical writing.",69,$3470-$6681,Bangalore
F0062,"Education & Training: training presentation, exam preparation, bilingual education, training design; General: project management",Entry Level,5,"Entry Level Education & Training professional with experience in training presentation, exam preparation, bilingual education, training design.",11,$237-$661,Chennai
F0063,"Mobile Development: native app development, android; General: ",Expert,11,"Expert Mobile Development professional with experience in native app development, android.",69,$3446-$9642,Mumbai
F0064,"Graphic & Visual Design: 2d illustration, character animation, branding; General: ",Intermediate,6,"Intermediate Graphic & Visual Design professional with experience in 2d illustration, character animation, branding.",21,$732-$2156,Pune
F0065,"Mobile Development: mobile app testing, mobile ui designer, mobile app development; General: ",Entry Level,3,"Entry Level Mobile Development professional with experience in mobile app testing, mobile ui designer, mobile app development.",10,$241-$739,Mumbai
F0066,"Database Management: mariadb, nosql database; General: ",Entry Level,9,"Entry Level Database Management professional with experience in mariadb, nosql database.",13,$143-$594,Delhi
F0067,"UI/UX Design: user experience design, responsive design, wireframing; General: sql, git",Expert,11,"Expert UI/UX Design professional with experience in user experience design, responsive design, wireframing.",75,$2976-$7713,Pune
F0068,"DevOps: azure devops, ansible, azure blockchain service, azure app service; General: agile",Entry Level,3,"Entry Level DevOps professional with experience in azure devops, ansible, azure blockchain service, azure app service.",13,$291-$849,Mumbai
F0069,"Cybersecurity: web application security, source code scanning, information security; General: agile",Expert,13,"Expert Cybersecurity professional with experience in web application security, source code scanning, information security.",66,$3007-$7423,Kolkata
F0070,"Writing & Content Creation: technical writing, social media content, storytelling, content guidelines; General: ",Expert,9,"Expert Writing & Content Creation professional with experience in technical writing, social media content, storytelling, content guidelines.",57,$4714-$5018,Delhi
F0071,"Web Development: html2text, css, interactive design, html5; General: project management, api",Entry Level,5,"Entry Level Web Development professional with experience in html2text, css, interactive design, html5.",14,$399-$879,Kolkata
F0072,"Database Management: nosql database, postgresql; General: agile, project management",Entry Level,8,"Entry Level Database Management professional with experience in nosql database, postgresql.",14,$229-$907,Chennai
F0073,"Graphic & Visual Design: 3d texturing, illustration, visual art; General: agile",Entry Level,7,"Entry Level Graphic & Visual Design professional with experience in 3d texturing, illustration, visual art.",9,$70-$670,Kolkata
F0074,"Data Science: tableau, quantitative analysis; General: ",Expert,13,"Expert Data Science professional with experience in tableau, quantitative analysis.",53,$4482-$5447,Bangalore
F0075,"Graphic & Visual Design: 3d rendering, visual presentation design, logo design; General: ",Expert,15,"Expert Graphic & Visual Design professional with experience in 3d rendering, visual presentation design, logo design.",39,$4801-$7115,Kolkata
F0076,"Education & Training: executive coaching, training, life coaching, program curriculum; General: agile",Intermediate,8,"Intermediate Education & Training professional with experience in executive coaching, training, life coaching, program curriculum.",20,$663-$2696,Chennai
F0077,"Database Management: sql programming, mongodb; General: ",Expert,15,"Expert Database Management professional with experience in sql programming, mongodb.",53,$2712-$9430,Mumbai
F0078,"UI/UX Design: wireframing, prototyping; General: git",Entry Level,2,"Entry Level UI/UX Design professional with experience in wireframing, prototyping.",5,$227-$974,Chennai
F0079,"Cybersecurity: security infrastructure, encryption; General: ",Entry Level,5,"Entry Level Cybersecurity professional with experience in security infrastructure, encryption.",7,$414-$791,Kolkata
F0080,"Business & Consulting: company research, business process automation, business analysis, business operations; General: api",Entry Level,3,"Entry Level Business & Consulting professional with experience in company research, business process automation, business analysis, business operations.",5,$108-$989,Kolkata
F0081,"Writing & Content Creation: creative writing, journalism writing, content localization; General: agile, sql",Intermediate,6,"Intermediate Writing & Content Creation professional with experience in creative writing, journalism writing, content localization.",22,$1028-$2366,Mumbai
F0082,"Web Development: html5, database, conversion to html, django; General: project management, git",Intermediate,9,"Intermediate Web Development professional with experience in html5, database, conversion to html, django.",22,$1177-$2512,Chennai
F0083,"Cybersecurity: cybersecurity management, firewall; General: agile, api",Expert,9,"Expert Cybersecurity professional with experience in cybersecurity management, firewall.",68,$1530-$9224,Pune
F0084,"Data Science: classification, analytics, gradient boosting; General: project management, sql",Expert,13,"Expert Data Science professional with experience in classification, analytics, gradient boosting.",64,$3074-$7187,Mumbai
F0085,"Web Development: web service, interactive design; General: ",Entry Level,6,"Entry Level Web Development professional with experience in web service, interactive design.",12,$194-$672,Delhi
F0086,"Database Management: nosql database, sql, oracle database administration; General: sql, git",Expert,13,"Expert Database Management professional with experience in nosql database, sql, oracle database administration.",52,$2083-$9385,Bangalore
F0087,"Marketing & SEO: content marketing, google search console, content seo, google analytics; General: project management",Expert,7,"Expert Marketing & SEO professional with experience in content marketing, google search console, content seo, google analytics.",52,$4144-$7950,Pune
F0088,"Marketing & SEO: google ad manager, google tag manager; General: project management, api",Entry Level,8,"Entry Level Marketing & SEO professional with experience in google ad manager, google tag manager.",14,$410-$635,Chennai
F0089,"DevOps: docker, cloud computing, serverless computing, ci/cd; General: api, sql",Intermediate,5,"Intermediate DevOps professional with experience in docker, cloud computing, serverless computing, ci/cd.",15,$517-$1761,Kolkata
F0090,"Project Management: change management, project portfolio management; General: git",Expert,3,"Expert Project Management professional with experience in change management, project portfolio management.",58,$1616-$8379,Delhi
F0091,"Marketing & SEO: google ads, youtube marketing, analytics & tracking setup, marketing analytics; General: git, project management",Entry Level,3,"Entry Level Marketing & SEO professional with experience in google ads, youtube marketing, analytics & tracking setup, marketing analytics.",5,$334-$978,Chennai
F0092,"UI/UX Design: adobe xd, visual communication, wireframing, ux & ui; General: api",Intermediate,3,"Intermediate UI/UX Design professional with experience in adobe xd, visual communication, wireframing, ux & ui.",23,$1417-$1797,Kolkata
F0093,"Data Science: quantitative analysis, data interpretation, feature extraction; General: git, sql",Intermediate,7,"Intermediate Data Science professional with experience in quantitative analysis, data interpretation, feature extraction.",19,$1428-$2063,Kolkata
F0094,"Web Development: html2text, php, react, restful api; General: ",Expert,5,"Expert Web Development professional with experience in html2text, php, react, restful api.",33,$2108-$9477,Mumbai
F0095,"Mobile Development: ios, kotlin, android app development, mobile app improvement; General: api",Entry Level,10,"Entry Level Mobile Development professional with experience in ios, kotlin, android app development, mobile app improvement.",14,$118-$887,Mumbai
F0096,"Project Management: project planning, project scheduling, project management office; General: api, agile",Expert,6,"Expert Project Management professional with experience in project planning, project scheduling, project management office.",70,$2067-$5248,Mumbai
F0097,"Mobile Development: ios, iphone ui design; General: agile",Intermediate,7,"Intermediate Mobile Development professional with experience in ios, iphone ui design.",28,$669-$1891,Pune
F0098,"Graphic & Visual Design: character animation, visual presentation design, photo editing, digital illustration; General: ",Intermediate,8,"Intermediate Graphic & Visual Design professional with experience in character animation, visual presentation design, photo editing, digital illustration.",24,$1419-$2794,Pune
F0099,"Cybersecurity: security assessment & testing, firewall, personal information protection & electronic documents act, security policies & procedures documentation; General: git, project management",Intermediate,5,"Intermediate Cybersecurity professional with experience in security assessment & testing, firewall, personal information protection & electronic documents act, security policies & procedures documentation.",22,$693-$2815,Mumbai
F0100,"Business & Consulting: business planning & strategy, business valuation, organizational behavior; General: sql, agile",Expert,3,"Expert Business & Consulting professional with experience in business planning & strategy, business valuation, organizational behavior.",46,$4127-$9581,Bangalore
