freelancer_id,skills,main_category,experience_years,hourly_rate,rating,jobs_completed,success_rate,response_time_hours,on_time_delivery_rate
FR0114,"SEO, PPC, Logo Design, Graphic Design, Illustrator, UI Design",marketing,15,135,3.5,22,0.89,17.6,0.98
FR0115,"Content Marketing, Digital Marketing",marketing,1,25,4.7,27,0.91,40.0,0.89
FR0116,"SEO, Digital Marketing, Social Media Marketing",marketing,4,47,4.3,37,0.89,11.0,0.96
FR0117,"SEO Writing, Content Writing",writing,5,65,4.5,66,0.96,35.4,0.86
FR0118,"SQL, Python, Angular, Ruby, JavaScript, Analytics, Email Marketing, Content Marketing, Digital Marketing, Social Media Marketing",programming,3,33,4.0,16,0.96,3.7,0.86
FR0119,"Creative Writing, SEO Writing",writing,7,85,3.7,32,0.83,47.3,0.98
FR0120,"Figma, Adobe XD",design,13,106,4.1,41,0.92,4.0,0.87
FR0121,"PPC, Content Marketing",marketing,12,87,3.6,85,0.98,38.4,0.91
FR0122,"Email Marketing, SEO, Analytics, PPC, Graphic Design, Photoshop, Logo Design",marketing,9,96,4.0,76,0.93,9.6,0.94
FR0123,"C++, React, JavaScript, Django, Vue.js",programming,8,55,3.7,81,0.83,16.1,0.99
FR0124,"Logo Design, UI Design, PHP, C++, Python, Angular",design,12,99,3.7,64,0.96,34.1,0.94
FR0125,"Copywriting, Blog Writing, Creative Writing, SEO Writing, Technical Writing",writing,13,80,4.3,71,0.88,2.7,0.92
FR0126,"Creative Writing, SEO Writing, Technical Writing",writing,1,25,4.3,12,0.98,30.6,0.86
FR0127,"Logo Design, Adobe XD, UX Design",design,9,42,4.9,69,0.86,43.5,0.88
FR0128,"Adobe XD, Photoshop, UI Design, UX Design, Graphic Design, Social Media Marketing, SEO, PPC, Email Marketing, Analytics",design,8,95,4.2,43,0.93,28.0,0.93
FR0129,"PPC, Digital Marketing, Social Media Marketing, Logo Design, Adobe XD",marketing,1,24,5.0,10,0.97,44.0,0.95
FR0130,"Digital Marketing, Social Media Marketing, Content Marketing, Email Marketing",marketing,15,150,4.8,94,0.95,46.7,0.87
FR0131,"Creative Writing, SEO Writing, Blog Writing, Copywriting",writing,7,57,3.8,73,0.9,5.7,0.9
FR0132,"Technical Writing, Content Writing, Blog Writing, SEO Writing",writing,9,60,3.9,67,0.98,7.0,0.85
FR0133,"Digital Marketing, Content Marketing, SEO, Social Media Marketing, PPC, Adobe XD, UI Design, Photoshop, Figma",marketing,12,99,4.8,68,0.98,9.4,0.86
FR0134,"Content Marketing, Digital Marketing, Email Marketing, SEO, PPC, UI Design, Photoshop, Illustrator, Adobe XD",marketing,2,21,3.8,96,0.93,8.8,0.89
FR0135,"SEO Writing, Creative Writing, Content Writing, Technical Writing, Blog Writing",writing,15,60,4.8,19,0.84,2.1,0.86
FR0136,"Django, React, Angular, Digital Marketing, Social Media Marketing",programming,12,135,3.7,14,0.83,47.3,0.99
FR0137,"Creative Writing, Blog Writing, Copywriting, Content Writing, Digital Marketing, Analytics, SEO, Email Marketing, Social Media Marketing",writing,13,54,3.7,80,0.85,36.1,0.94
FR0138,"Blog Writing, Technical Writing, SEO Writing, Content Writing, Email Marketing, SEO, Digital Marketing, Analytics, Social Media Marketing",writing,3,24,4.2,7,0.81,8.2,0.91
FR0139,"SEO Writing, Content Writing, UX Design, Logo Design, Illustrator, Adobe XD",writing,7,85,4.1,27,0.84,42.4,0.96
FR0140,"C++, Node.js, SEO, Social Media Marketing, Analytics",programming,13,106,3.8,6,1.0,37.6,0.9
FR0141,"UI Design, Figma, Photoshop, Creative Writing, Blog Writing, Content Writing, SEO Writing",design,1,18,4.3,79,0.85,20.9,0.86
FR0142,"PHP, JavaScript, SQL",programming,6,57,3.9,68,0.89,34.8,0.92
FR0143,"Figma, Graphic Design, Adobe XD, Photoshop, Illustrator, PPC, Email Marketing, Social Media Marketing, SEO",design,7,36,4.0,66,0.86,6.6,0.94
FR0144,"Angular, Python",programming,2,23,4.3,23,0.83,37.9,0.99
FR0145,"UX Design, Adobe XD, Figma",design,1,25,4.2,25,0.88,30.2,0.98
FR0146,"Creative Writing, Copywriting, Content Writing, Swift, Node.js",writing,10,75,4.7,94,0.92,44.2,0.97
FR0147,"Graphic Design, UX Design, Adobe XD",design,14,155,4.5,80,1.0,29.7,0.96
FR0148,"PPC, Email Marketing, Analytics, SEO, Content Marketing",marketing,8,95,3.6,13,0.94,14.3,0.96
FR0149,"SEO Writing, Technical Writing, Creative Writing, Content Writing, Copywriting, C++, SQL, JavaScript",writing,7,57,4.6,20,0.83,5.0,0.99
FR0150,"Creative Writing, SEO Writing, Blog Writing, Copywriting, Content Writing",writing,5,50,4.3,94,0.91,7.2,0.86
FR0151,"Django, JavaScript, SQL, Swift, Ruby, Copywriting, Creative Writing",programming,9,105,4.3,66,0.88,33.2,0.96
FR0152,"Django, Vue.js",programming,12,63,4.1,67,0.96,8.4,0.9
FR0153,"Figma, Graphic Design, Illustrator, UI Design, Java, JavaScript, PHP",design,15,105,4.1,8,0.91,33.1,0.89
FR0154,"Content Marketing, Analytics, Email Marketing, Social Media Marketing, Digital Marketing",marketing,4,31,4.4,36,0.87,25.0,0.92
FR0155,"SEO Writing, Technical Writing",writing,9,96,4.2,91,0.92,30.5,0.99
FR0156,"Email Marketing, PPC, UX Design, Graphic Design, Figma, Illustrator, Photoshop",marketing,7,71,3.9,85,0.83,20.5,0.87
FR0157,"Django, SQL, Java, Adobe XD, Logo Design, Figma, Illustrator",programming,6,51,3.6,81,0.81,39.3,0.91
FR0158,"Content Writing, Technical Writing, SEO Writing, Creative Writing",writing,1,24,4.5,79,0.9,17.4,0.94
FR0159,"Content Marketing, Email Marketing, Digital Marketing, Content Writing, Blog Writing",marketing,11,125,4.5,68,0.81,39.8,0.89
FR0160,"Illustrator, UI Design, Figma, Adobe XD, Logo Design, Blog Writing, Creative Writing",design,13,132,4.8,85,0.99,39.5,0.91
FR0161,"Content Marketing, Analytics, Social Media Marketing, Digital Marketing",marketing,5,55,3.5,7,0.98,44.5,0.94
FR0162,"Illustrator, Photoshop, Adobe XD, UI Design, React, C++",design,12,99,4.3,88,0.88,17.6,0.88
FR0163,"Java, Node.js, SEO, Content Marketing",programming,3,24,3.6,70,0.89,5.1,1.0
FR0164,"PPC, Digital Marketing, SEO, Email Marketing",marketing,8,79,4.4,68,0.83,19.3,0.98
FR0165,"Email Marketing, Digital Marketing",marketing,8,63,3.5,51,0.97,38.6,0.93
FR0166,"Node.js, Django, C++",programming,5,50,4.4,75,0.92,15.4,0.92
FR0167,"Blog Writing, Copywriting, SEO Writing",writing,15,90,4.9,68,0.98,38.5,0.87
FR0168,"Technical Writing, Creative Writing, Content Writing, Copywriting, Logo Design, UI Design",writing,1,21,4.8,20,0.88,10.8,0.9
FR0169,"Node.js, Vue.js, Django, Swift, JavaScript, Blog Writing, Technical Writing, SEO Writing, Content Writing",programming,2,25,3.7,71,0.91,6.8,0.94
FR0170,"Social Media Marketing, Content Marketing, Analytics, Digital Marketing",marketing,14,85,4.6,93,0.91,16.8,0.93
FR0171,"SEO Writing, Creative Writing, Copywriting",writing,7,78,4.9,33,0.91,25.7,0.96
FR0172,"SEO Writing, Creative Writing",writing,15,120,4.4,82,0.99,3.5,0.88
FR0173,"UI Design, Illustrator, Logo Design, Graphic Design",design,9,105,4.7,69,0.95,3.9,0.88
FR0174,"Vue.js, C++, Swift, Creative Writing, Copywriting, Technical Writing, Content Writing, Blog Writing",programming,2,33,4.7,89,0.94,11.7,0.97
FR0175,"Analytics, PPC, Social Media Marketing",marketing,4,39,4.5,36,0.84,8.3,0.91
FR0176,"SEO, Content Marketing, Digital Marketing, PPC, Analytics",marketing,14,127,3.6,10,1.0,19.0,0.93
FR0177,"Creative Writing, Technical Writing, Content Writing, SEO Writing, Copywriting, SEO, Email Marketing, Content Marketing",writing,2,25,4.0,91,0.98,27.3,0.86
FR0178,"Illustrator, Adobe XD, Digital Marketing, Social Media Marketing, PPC, Content Marketing",design,5,45,4.3,20,0.84,36.0,0.93
FR0179,"SEO Writing, Technical Writing, Blog Writing, Python, JavaScript, Node.js, C++, Django",writing,12,75,4.5,5,1.0,2.8,0.85
FR0180,"React, Ruby",programming,12,75,3.6,86,0.9,17.3,1.0
FR0181,"SQL, Angular, React",programming,7,36,3.7,21,0.84,7.3,0.99
FR0182,"Blog Writing, Copywriting, Technical Writing, Content Writing, Vue.js, SQL, Node.js, Swift",writing,7,85,4.9,72,0.8,8.7,0.91
FR0183,"Swift, C++, Django",programming,14,113,3.7,51,0.97,31.6,0.96
FR0184,"SEO Writing, Creative Writing, Copywriting, Blog Writing, Content Writing, Social Media Marketing, Analytics, PPC, Email Marketing, Digital Marketing",writing,10,115,4.4,6,0.97,31.6,0.9
FR0185,"Python, Swift",programming,3,45,5.0,66,0.9,13.5,0.95
FR0186,"Swift, Node.js, Vue.js",programming,14,85,4.2,64,0.92,1.6,0.97
FR0187,"Illustrator, Photoshop, Adobe XD, UI Design, Social Media Marketing, PPC, Analytics",design,15,105,3.7,36,0.96,34.9,1.0
FR0188,"Graphic Design, UX Design, Photoshop",design,8,71,3.8,19,0.9,26.7,0.94
FR0189,"Figma, Adobe XD, Django, SQL",design,10,75,5.0,68,0.95,46.8,0.93
FR0190,"PPC, SEO, Analytics, Email Marketing",marketing,15,90,4.5,99,0.94,42.3,0.87
FR0191,"Photoshop, Illustrator, Adobe XD, UI Design, UX Design",design,3,42,4.1,32,0.97,25.0,0.95
FR0192,"Java, Vue.js, Ruby, React, Photoshop, Figma, UI Design, Graphic Design, UX Design",programming,11,81,3.5,26,0.8,15.2,0.89
FR0193,"SEO Writing, Technical Writing, Content Writing, Creative Writing, Copywriting",writing,4,39,4.0,79,0.92,13.9,0.91
FR0194,"SEO, Social Media Marketing, PPC, Copywriting, SEO Writing, Technical Writing",marketing,13,106,4.0,18,0.95,9.8,0.88
FR0195,"Analytics, Email Marketing, Digital Marketing, Social Media Marketing, Adobe XD, Logo Design",marketing,6,69,4.0,94,0.95,42.5,0.91
FR0196,"Copywriting, Blog Writing",writing,12,63,3.6,25,0.97,43.9,0.88
FR0197,"Illustrator, UI Design",design,5,30,4.7,62,0.86,30.5,0.98
FR0198,"PPC, Content Marketing, Analytics, SEO, JavaScript, Python, React, Django",marketing,1,22,4.2,55,0.91,47.4,0.95
FR0199,"UX Design, Logo Design, Graphic Design",design,15,150,4.6,96,0.89,25.4,0.92
FR0200,"PHP, Vue.js, JavaScript, React, Node.js, Illustrator, UI Design",programming,9,51,3.7,83,0.84,22.3,0.9
FR0201,"Content Writing, Creative Writing, Technical Writing, SEO Writing",writing,7,43,5.0,12,0.92,27.3,0.85
FR0202,"Social Media Marketing, Digital Marketing, Content Marketing, SEO, Analytics",marketing,11,103,4.9,64,0.82,8.1,0.94
FR0203,"Copywriting, SEO Writing",writing,11,92,3.5,27,0.85,22.1,0.92
FR0204,"Django, Vue.js, Swift",programming,3,27,4.3,75,0.91,18.8,0.94
FR0205,"Logo Design, UX Design, Graphic Design, Illustrator, Photoshop",design,14,127,4.5,100,0.91,13.0,0.88
FR0206,"PHP, Angular, Python",programming,5,65,4.4,15,0.93,34.8,0.92
FR0207,"Adobe XD, Photoshop, Illustrator, UI Design, Java, SQL, Django, Angular, React",design,12,111,4.8,32,0.85,2.2,0.96
FR0208,"Ruby, SQL, Swift, C++, UX Design, Adobe XD, Photoshop",programming,8,47,4.8,20,0.83,7.5,0.91
FR0209,"Vue.js, SQL, JavaScript, Angular, C++",programming,10,55,4.3,18,0.82,2.9,0.94
FR0210,"UX Design, UI Design, Figma, Illustrator",design,11,103,4.3,89,0.82,3.7,0.88
FR0211,"PPC, Social Media Marketing, Digital Marketing",marketing,10,85,4.3,68,0.81,32.9,0.87
FR0212,"Creative Writing, SEO Writing, Technical Writing, Copywriting, Content Writing, PHP, Python, SQL, React",writing,6,57,3.5,18,0.89,20.3,0.92
FR0213,"Logo Design, Illustrator, UX Design, Photoshop",design,1,25,4.6,30,0.88,19.0,0.96
FR0214,"Node.js, PHP, Adobe XD, UX Design, Photoshop, Figma",programming,5,65,4.9,95,0.99,37.3,0.91
FR0215,"SQL, Vue.js, Django, C++, React",programming,2,27,3.6,21,0.8,17.5,0.97
FR0216,"Analytics, Digital Marketing",marketing,4,55,4.7,87,0.99,37.9,0.87
FR0217,"Ruby, SQL, Django, React, SEO Writing, Blog Writing, Content Writing, Creative Writing, Technical Writing",programming,11,48,4.0,65,0.95,5.8,0.97
FR0218,"React, SQL, Angular, Vue.js, Swift, Content Marketing, Email Marketing, Analytics, Digital Marketing",programming,5,45,3.7,15,0.94,41.9,0.88
FR0219,"Figma, Logo Design, SEO Writing, Blog Writing, Copywriting, Content Writing",design,6,45,4.7,29,0.83,25.0,0.9
FR0220,"Social Media Marketing, SEO, Email Marketing, SEO Writing, Content Writing, Blog Writing, Copywriting",marketing,7,43,4.7,50,0.95,37.3,0.99
FR0221,"Java, Vue.js, Django, Node.js, PHP, SEO Writing, Copywriting, Creative Writing, Technical Writing, Blog Writing",programming,8,71,3.7,88,0.9,9.8,0.92
FR0222,"Django, Angular, Ruby, Swift, C++, Social Media Marketing, PPC, SEO, Digital Marketing",programming,8,55,4.4,71,0.93,31.7,0.85
FR0223,"Blog Writing, Creative Writing, Technical Writing, Copywriting, SEO Writing, UI Design, Illustrator",writing,1,19,4.9,17,0.93,10.0,0.86
FR0224,"Content Writing, SEO Writing",writing,11,92,4.7,48,0.82,8.6,0.96
FR0225,"Java, Django, SQL, React, Swift, UX Design, UI Design, Figma, Graphic Design",programming,13,106,3.9,19,0.83,23.4,0.85
FR0226,"Illustrator, Photoshop, Adobe XD, SEO Writing, Copywriting, Blog Writing, Creative Writing",design,12,63,4.1,69,0.82,35.3,0.87
FR0227,"Digital Marketing, Email Marketing, SEO",marketing,11,70,3.6,81,0.98,4.9,0.91
FR0228,"Analytics, Email Marketing, SEO, PPC, Social Media Marketing",marketing,12,123,3.9,17,0.94,25.9,0.89
