project_id,category,required_skills,complexity,duration_weeks,budget,required_experience_years,preferred_hourly_rate_range,project_description,status
PJ0015,programming,"Angular, Django, JavaScript",High,2,3250.0,4,$28-$86,"Project requiring expertise in Angular, Django, JavaScript",In Progress
PJ0016,marketing,"Digital Marketing, SEO, Content Marketing, Email Marketing, PPC",Low,7,9100.0,7,$23-$85,"Project requiring expertise in Digital Marketing, SEO, Content Marketing, Email Marketing, PPC",Completed
PJ0017,programming,"SQL, React, Django",High,6,6250.0,1,$29-$34,"Project requiring expertise in SQL, React, Django",In Progress
PJ0018,design,"UI Design, Figma, UX Design, Adobe XD, Photoshop",Medium,1,1800.0,8,$17-$43,"Project requiring expertise in UI Design, Figma, UX Design, Adobe XD, Photoshop",Completed
PJ0019,marketing,"Analytics, Digital Marketing, SEO, PPC, Social Media Marketing",High,7,7750.0,6,$21-$92,"Project requiring expertise in Analytics, Digital Marketing, SEO, PPC, Social Media Marketing",Open
PJ0020,writing,"Creative Writing, Copywriting, Technical Writing",Medium,10,9000.0,1,$28-$92,"Project requiring expertise in Creative Writing, Copywriting, Technical Writing",In Progress
PJ0021,marketing,"Email Marketing, PPC, Digital Marketing, SEO",High,11,22250.0,3,$19-$76,"Project requiring expertise in Email Marketing, PPC, Digital Marketing, SEO",Open
PJ0022,writing,"SEO Writing, Technical Writing, Creative Writing, Blog Writing, Copywriting",Low,3,9300.0,5,$19-$95,"Project requiring expertise in SEO Writing, Technical Writing, Creative Writing, Blog Writing, Copywriting",Open
PJ0023,design,"Figma, Logo Design",High,11,19250.0,1,$24-$88,"Project requiring expertise in Figma, Logo Design",Completed
PJ0024,writing,"Technical Writing, Blog Writing, SEO Writing, Creative Writing",Medium,10,8700.0,6,$29-$66,"Project requiring expertise in Technical Writing, Blog Writing, SEO Writing, Creative Writing",In Progress
PJ0025,marketing,"Analytics, SEO, Social Media Marketing, Email Marketing",Medium,12,9750.0,6,$16-$61,"Project requiring expertise in Analytics, SEO, Social Media Marketing, Email Marketing",Completed
PJ0026,marketing,"Analytics, PPC, SEO, Email Marketing",Medium,3,15000.0,4,$22-$45,"Project requiring expertise in Analytics, PPC, SEO, Email Marketing",Completed
PJ0027,marketing,"Digital Marketing, PPC",Medium,2,8550.0,4,$24-$88,"Project requiring expertise in Digital Marketing, PPC",Completed
PJ0028,marketing,"Analytics, Digital Marketing, SEO, Content Marketing, PPC",High,4,18750.0,7,$22-$57,"Project requiring expertise in Analytics, Digital Marketing, SEO, Content Marketing, PPC",In Progress
PJ0029,design,"Logo Design, Photoshop, UX Design, Graphic Design",Low,5,8000.0,8,$20-$54,"Project requiring expertise in Logo Design, Photoshop, UX Design, Graphic Design",In Progress
PJ0030,writing,"Blog Writing, Copywriting, Creative Writing, SEO Writing, Technical Writing",High,9,17250.0,7,$22-$61,"Project requiring expertise in Blog Writing, Copywriting, Creative Writing, SEO Writing, Technical Writing",Open
PJ0031,design,"Photoshop, UX Design, Graphic Design, Illustrator, Logo Design",High,9,13250.0,5,$23-$53,"Project requiring expertise in Photoshop, UX Design, Graphic Design, Illustrator, Logo Design",In Progress
PJ0032,design,"UI Design, Adobe XD, UX Design",Medium,12,5850.0,3,$22-$78,"Project requiring expertise in UI Design, Adobe XD, UX Design",Completed
PJ0033,design,"Photoshop, Illustrator, Graphic Design, Logo Design, Adobe XD",Medium,10,7650.0,5,$20-$69,"Project requiring expertise in Photoshop, Illustrator, Graphic Design, Logo Design, Adobe XD",Completed
PJ0034,marketing,"Analytics, Content Marketing, Social Media Marketing",Low,9,3000.0,1,$19-$78,"Project requiring expertise in Analytics, Content Marketing, Social Media Marketing",Completed
PJ0035,writing,"Copywriting, Creative Writing, Blog Writing",High,3,5000.0,7,$25-$48,"Project requiring expertise in Copywriting, Creative Writing, Blog Writing",Completed
PJ0036,programming,"Ruby, C++",High,2,22750.0,5,$20-$98,"Project requiring expertise in Ruby, C++",Completed
PJ0037,writing,"Copywriting, Blog Writing, Technical Writing, Content Writing, Creative Writing",Low,5,4800.0,4,$27-$62,"Project requiring expertise in Copywriting, Blog Writing, Technical Writing, Content Writing, Creative Writing",Open
PJ0038,design,"Graphic Design, Illustrator",High,10,15500.0,1,$24-$83,"Project requiring expertise in Graphic Design, Illustrator",In Progress
PJ0039,writing,"Content Writing, SEO Writing, Creative Writing, Blog Writing",Low,6,900.0,4,$28-$93,"Project requiring expertise in Content Writing, SEO Writing, Creative Writing, Blog Writing",In Progress
PJ0040,marketing,"Content Marketing, Social Media Marketing, SEO, Analytics, Email Marketing",Low,1,4700.0,8,$26-$92,"Project requiring expertise in Content Marketing, Social Media Marketing, SEO, Analytics, Email Marketing",Completed
PJ0041,marketing,"Social Media Marketing, Email Marketing",High,6,16750.0,5,$23-$67,"Project requiring expertise in Social Media Marketing, Email Marketing",In Progress
PJ0042,programming,"SQL, Angular, C++, Ruby",Low,12,700.0,2,$27-$32,"Project requiring expertise in SQL, Angular, C++, Ruby",In Progress
PJ0043,writing,"Copywriting, Creative Writing, Technical Writing",High,3,15750.0,4,$27-$62,"Project requiring expertise in Copywriting, Creative Writing, Technical Writing",Completed
PJ0044,marketing,"Digital Marketing, Content Marketing, Social Media Marketing, Analytics, PPC",High,1,7250.0,4,$22-$36,"Project requiring expertise in Digital Marketing, Content Marketing, Social Media Marketing, Analytics, PPC",Open
PJ0045,programming,"Ruby, React, C++, Vue.js",Low,2,5100.0,4,$18-$48,"Project requiring expertise in Ruby, React, C++, Vue.js",Completed
PJ0046,marketing,"Email Marketing, PPC, Digital Marketing",High,8,9250.0,2,$19-$55,"Project requiring expertise in Email Marketing, PPC, Digital Marketing",In Progress
PJ0047,programming,"JavaScript, Django, Java",Low,10,7300.0,2,$21-$97,"Project requiring expertise in JavaScript, Django, Java",In Progress
PJ0048,design,"Adobe XD, UI Design, UX Design, Graphic Design, Photoshop",Low,6,8500.0,3,$19-$63,"Project requiring expertise in Adobe XD, UI Design, UX Design, Graphic Design, Photoshop",In Progress
PJ0049,design,"Graphic Design, Photoshop",Low,5,3500.0,5,$19-$69,"Project requiring expertise in Graphic Design, Photoshop",Completed
PJ0050,design,"UI Design, Adobe XD, Graphic Design, Photoshop",High,4,3250.0,7,$16-$77,"Project requiring expertise in UI Design, Adobe XD, Graphic Design, Photoshop",In Progress
PJ0051,design,"Illustrator, Adobe XD",Medium,6,2700.0,4,$28-$95,"Project requiring expertise in Illustrator, Adobe XD",Completed
PJ0052,marketing,"Analytics, Content Marketing, Digital Marketing",Low,10,1300.0,3,$24-$88,"Project requiring expertise in Analytics, Content Marketing, Digital Marketing",Open
PJ0053,design,"Photoshop, Illustrator, Logo Design",High,5,22750.0,4,$25-$90,"Project requiring expertise in Photoshop, Illustrator, Logo Design",In Progress
PJ0054,marketing,"Content Marketing, Digital Marketing",High,1,1250.0,4,$27-$74,"Project requiring expertise in Content Marketing, Digital Marketing",In Progress
PJ0055,programming,"Vue.js, Django, Ruby, JavaScript",High,4,15750.0,6,$16-$32,"Project requiring expertise in Vue.js, Django, Ruby, JavaScript",In Progress
PJ0056,marketing,"Analytics, Content Marketing",Medium,2,1350.0,2,$26-$81,"Project requiring expertise in Analytics, Content Marketing",Open
PJ0057,marketing,"SEO, Digital Marketing, Analytics",High,8,14500.0,2,$19-$34,"Project requiring expertise in SEO, Digital Marketing, Analytics",Completed
PJ0058,programming,"Swift, Java, C++",High,10,10250.0,8,$16-$45,"Project requiring expertise in Swift, Java, C++",Open
PJ0059,programming,"Node.js, Django, Vue.js, Python, Swift",Medium,6,10950.0,8,$30-$47,"Project requiring expertise in Node.js, Django, Vue.js, Python, Swift",Completed
PJ0060,programming,"PHP, Swift, Vue.js, Angular",High,3,16000.0,6,$23-$36,"Project requiring expertise in PHP, Swift, Vue.js, Angular",Completed
PJ0061,marketing,"Content Marketing, Email Marketing",Medium,3,9150.0,5,$16-$63,"Project requiring expertise in Content Marketing, Email Marketing",In Progress
PJ0062,programming,"Django, React",Medium,3,750.0,7,$29-$37,"Project requiring expertise in Django, React",In Progress
PJ0063,programming,"Node.js, Swift, Vue.js",High,1,21250.0,1,$25-$92,"Project requiring expertise in Node.js, Swift, Vue.js",In Progress
PJ0064,writing,"Creative Writing, Content Writing",Low,12,1700.0,5,$18-$93,"Project requiring expertise in Creative Writing, Content Writing",In Progress
PJ0065,programming,"Django, SQL, JavaScript",Low,8,500.0,3,$17-$89,"Project requiring expertise in Django, SQL, JavaScript",Open
PJ0066,design,"Photoshop, Adobe XD, Graphic Design",Low,11,4000.0,8,$30-$35,"Project requiring expertise in Photoshop, Adobe XD, Graphic Design",In Progress
PJ0067,programming,"React, PHP, JavaScript",High,3,11250.0,8,$15-$59,"Project requiring expertise in React, PHP, JavaScript",Completed
PJ0068,writing,"Blog Writing, Copywriting",High,9,6250.0,8,$20-$81,"Project requiring expertise in Blog Writing, Copywriting",Completed
PJ0069,design,"Illustrator, UI Design, Logo Design, Photoshop, Figma",High,8,10250.0,8,$16-$70,"Project requiring expertise in Illustrator, UI Design, Logo Design, Photoshop, Figma",In Progress
PJ0070,programming,"Swift, Ruby, JavaScript",Medium,6,4950.0,6,$24-$97,"Project requiring expertise in Swift, Ruby, JavaScript",Open
PJ0071,programming,"JavaScript, Swift, Django, SQL, Node.js",Medium,8,14550.0,7,$22-$77,"Project requiring expertise in JavaScript, Swift, Django, SQL, Node.js",Open
PJ0072,design,"Adobe XD, Logo Design, UX Design, UI Design, Illustrator",Low,7,1200.0,3,$24-$97,"Project requiring expertise in Adobe XD, Logo Design, UX Design, UI Design, Illustrator",In Progress
PJ0073,writing,"Creative Writing, Copywriting, SEO Writing, Content Writing",Low,2,2300.0,2,$19-$61,"Project requiring expertise in Creative Writing, Copywriting, SEO Writing, Content Writing",Completed
PJ0074,programming,"React, PHP, Node.js, SQL",Low,2,4600.0,6,$21-$57,"Project requiring expertise in React, PHP, Node.js, SQL",Completed
PJ0075,writing,"Technical Writing, Content Writing, Creative Writing",High,2,13500.0,6,$27-$67,"Project requiring expertise in Technical Writing, Content Writing, Creative Writing",In Progress
PJ0076,programming,"C++, React, Node.js, Django",High,3,7500.0,1,$19-$37,"Project requiring expertise in C++, React, Node.js, Django",In Progress
PJ0077,design,"UI Design, Photoshop",Low,6,4900.0,2,$20-$37,"Project requiring expertise in UI Design, Photoshop",In Progress
PJ0078,marketing,"SEO, PPC, Email Marketing, Digital Marketing",High,2,5250.0,5,$22-$57,"Project requiring expertise in SEO, PPC, Email Marketing, Digital Marketing",In Progress
PJ0079,writing,"SEO Writing, Technical Writing, Content Writing",Low,4,5500.0,7,$28-$39,"Project requiring expertise in SEO Writing, Technical Writing, Content Writing",Completed
PJ0080,marketing,"PPC, Social Media Marketing, Digital Marketing",Low,3,6700.0,2,$28-$53,"Project requiring expertise in PPC, Social Media Marketing, Digital Marketing",In Progress
PJ0081,design,"Adobe XD, Graphic Design, UI Design, Illustrator, Logo Design",High,12,16250.0,8,$26-$35,"Project requiring expertise in Adobe XD, Graphic Design, UI Design, Illustrator, Logo Design",Completed
PJ0082,programming,"Node.js, React",Low,11,4900.0,1,$24-$93,"Project requiring expertise in Node.js, React",Open
PJ0083,writing,"SEO Writing, Blog Writing",High,12,4000.0,7,$26-$71,"Project requiring expertise in SEO Writing, Blog Writing",Completed
PJ0084,design,"UX Design, Adobe XD",Low,1,600.0,1,$22-$74,"Project requiring expertise in UX Design, Adobe XD",Completed
PJ0085,design,"Adobe XD, Graphic Design, Figma, Logo Design",High,9,3500.0,2,$26-$74,"Project requiring expertise in Adobe XD, Graphic Design, Figma, Logo Design",Open
PJ0086,writing,"Content Writing, Creative Writing, Technical Writing, Blog Writing, SEO Writing",Medium,11,9900.0,1,$16-$98,"Project requiring expertise in Content Writing, Creative Writing, Technical Writing, Blog Writing, SEO Writing",Open
PJ0087,marketing,"PPC, Social Media Marketing",High,1,19500.0,7,$18-$99,"Project requiring expertise in PPC, Social Media Marketing",Open
PJ0088,writing,"Blog Writing, Technical Writing, Content Writing, Copywriting",Low,8,4800.0,1,$19-$67,"Project requiring expertise in Blog Writing, Technical Writing, Content Writing, Copywriting",In Progress
PJ0089,design,"Illustrator, Photoshop, Logo Design",Medium,6,14100.0,7,$26-$77,"Project requiring expertise in Illustrator, Photoshop, Logo Design",In Progress
PJ0090,design,"Figma, UX Design, UI Design",Low,2,5300.0,7,$30-$94,"Project requiring expertise in Figma, UX Design, UI Design",In Progress
PJ0091,marketing,"Digital Marketing, Analytics",High,11,15500.0,2,$26-$77,"Project requiring expertise in Digital Marketing, Analytics",Completed
PJ0092,marketing,"PPC, Social Media Marketing, SEO, Content Marketing",High,11,16250.0,2,$30-$91,"Project requiring expertise in PPC, Social Media Marketing, SEO, Content Marketing",Completed
PJ0093,design,"Logo Design, Graphic Design, Adobe XD, Figma, UX Design",Low,4,5000.0,8,$17-$35,"Project requiring expertise in Logo Design, Graphic Design, Adobe XD, Figma, UX Design",Open
PJ0094,marketing,"Social Media Marketing, Email Marketing, Analytics",High,1,17000.0,6,$28-$35,"Project requiring expertise in Social Media Marketing, Email Marketing, Analytics",Open
PJ0095,marketing,"Social Media Marketing, PPC, Analytics",Medium,6,8100.0,4,$23-$32,"Project requiring expertise in Social Media Marketing, PPC, Analytics",Open
PJ0096,writing,"Blog Writing, Technical Writing, SEO Writing, Content Writing, Copywriting",High,5,15500.0,8,$17-$76,"Project requiring expertise in Blog Writing, Technical Writing, SEO Writing, Content Writing, Copywriting",Completed
PJ0097,design,"Photoshop, Illustrator, UX Design, Adobe XD, Figma",High,4,20000.0,7,$25-$61,"Project requiring expertise in Photoshop, Illustrator, UX Design, Adobe XD, Figma",In Progress
PJ0098,design,"UX Design, Adobe XD",High,9,8750.0,2,$23-$36,"Project requiring expertise in UX Design, Adobe XD",Completed
PJ0099,design,"Graphic Design, Photoshop, Illustrator",High,7,18000.0,8,$24-$31,"Project requiring expertise in Graphic Design, Photoshop, Illustrator",Completed
PJ0100,marketing,"Email Marketing, Analytics, SEO, Social Media Marketing",Low,5,6900.0,2,$22-$35,"Project requiring expertise in Email Marketing, Analytics, SEO, Social Media Marketing",In Progress
PJ0101,marketing,"Digital Marketing, Email Marketing",Low,1,9800.0,7,$26-$39,"Project requiring expertise in Digital Marketing, Email Marketing",Completed
PJ0102,programming,"Java, Python, Angular, React",Medium,2,4050.0,6,$30-$48,"Project requiring expertise in Java, Python, Angular, React",Completed
PJ0103,writing,"Technical Writing, Copywriting",Low,3,8700.0,3,$26-$72,"Project requiring expertise in Technical Writing, Copywriting",In Progress
PJ0104,design,"Figma, UX Design",Low,2,3600.0,5,$19-$74,"Project requiring expertise in Figma, UX Design",Completed
PJ0105,programming,"Ruby, PHP, Vue.js, Python",Low,8,9300.0,3,$16-$96,"Project requiring expertise in Ruby, PHP, Vue.js, Python",Open
PJ0106,design,"Figma, UI Design, Adobe XD",High,5,10750.0,2,$19-$76,"Project requiring expertise in Figma, UI Design, Adobe XD",Open
PJ0107,writing,"Technical Writing, Creative Writing, SEO Writing",Low,6,2600.0,3,$15-$51,"Project requiring expertise in Technical Writing, Creative Writing, SEO Writing",Open
PJ0108,design,"Logo Design, UI Design, Adobe XD",Low,7,8800.0,7,$22-$32,"Project requiring expertise in Logo Design, UI Design, Adobe XD",Open
PJ0109,programming,"Node.js, Django, JavaScript, Swift, Python",Medium,9,5850.0,8,$29-$70,"Project requiring expertise in Node.js, Django, JavaScript, Swift, Python",Completed
PJ0110,marketing,"SEO, Analytics",Low,1,7300.0,8,$28-$89,"Project requiring expertise in SEO, Analytics",In Progress
PJ0111,programming,"JavaScript, SQL, Angular, React",High,12,9750.0,6,$19-$50,"Project requiring expertise in JavaScript, SQL, Angular, React",In Progress
PJ0112,marketing,"PPC, Digital Marketing, Analytics, Email Marketing, Social Media Marketing",Medium,7,7350.0,2,$18-$100,"Project requiring expertise in PPC, Digital Marketing, Analytics, Email Marketing, Social Media Marketing",Completed
PJ0113,design,"Adobe XD, UI Design",Low,9,4800.0,8,$20-$77,"Project requiring expertise in Adobe XD, UI Design",Open
PJ0114,design,"UX Design, UI Design, Photoshop",Medium,11,3000.0,1,$18-$49,"Project requiring expertise in UX Design, UI Design, Photoshop",In Progress
PJ0115,marketing,"Email Marketing, Content Marketing",Medium,5,3000.0,7,$17-$50,"Project requiring expertise in Email Marketing, Content Marketing",In Progress
PJ0116,marketing,"Analytics, Content Marketing, PPC, Digital Marketing",Medium,1,8700.0,5,$18-$71,"Project requiring expertise in Analytics, Content Marketing, PPC, Digital Marketing",In Progress
PJ0117,writing,"Content Writing, SEO Writing",Medium,9,3150.0,6,$20-$44,"Project requiring expertise in Content Writing, SEO Writing",Open
PJ0118,design,"Adobe XD, Photoshop",High,11,15500.0,3,$27-$42,"Project requiring expertise in Adobe XD, Photoshop",Completed
PJ0119,programming,"Django, Python",Low,10,9700.0,4,$30-$97,"Project requiring expertise in Django, Python",In Progress
PJ0120,design,"UI Design, Graphic Design, UX Design, Photoshop, Figma",Low,2,1800.0,5,$19-$74,"Project requiring expertise in UI Design, Graphic Design, UX Design, Photoshop, Figma",Completed
PJ0121,programming,"Django, Angular, Vue.js, C++, JavaScript",Low,9,1300.0,5,$15-$66,"Project requiring expertise in Django, Angular, Vue.js, C++, JavaScript",In Progress
PJ0122,writing,"Blog Writing, Content Writing",Low,5,4500.0,5,$27-$97,"Project requiring expertise in Blog Writing, Content Writing",In Progress
PJ0123,programming,"SQL, Angular, PHP",High,6,14750.0,1,$28-$81,"Project requiring expertise in SQL, Angular, PHP",Open
PJ0124,design,"Illustrator, Figma, UI Design, UX Design, Photoshop",Medium,9,3450.0,7,$26-$77,"Project requiring expertise in Illustrator, Figma, UI Design, UX Design, Photoshop",In Progress
PJ0125,marketing,"PPC, Email Marketing, Digital Marketing, Social Media Marketing",Low,4,5500.0,3,$27-$94,"Project requiring expertise in PPC, Email Marketing, Digital Marketing, Social Media Marketing",Open
PJ0126,programming,"Java, Ruby, Django, Swift",High,3,24500.0,5,$16-$66,"Project requiring expertise in Java, Ruby, Django, Swift",Completed
PJ0127,programming,"React, Django, SQL, Swift",Medium,7,5400.0,5,$19-$78,"Project requiring expertise in React, Django, SQL, Swift",In Progress
PJ0128,marketing,"Email Marketing, Digital Marketing",Low,1,4400.0,5,$27-$34,"Project requiring expertise in Email Marketing, Digital Marketing",In Progress
PJ0129,writing,"Technical Writing, Blog Writing, SEO Writing, Creative Writing",Medium,8,10950.0,7,$17-$52,"Project requiring expertise in Technical Writing, Blog Writing, SEO Writing, Creative Writing",Completed
PJ0130,writing,"Content Writing, Blog Writing, SEO Writing",Low,10,7800.0,6,$17-$73,"Project requiring expertise in Content Writing, Blog Writing, SEO Writing",In Progress
PJ0131,marketing,"Social Media Marketing, PPC",Low,10,6700.0,1,$22-$82,"Project requiring expertise in Social Media Marketing, PPC",Completed
PJ0132,marketing,"Digital Marketing, Social Media Marketing, PPC, Analytics, SEO",High,5,22750.0,8,$24-$87,"Project requiring expertise in Digital Marketing, Social Media Marketing, PPC, Analytics, SEO",Completed
PJ0133,writing,"SEO Writing, Content Writing, Copywriting, Creative Writing",High,3,5250.0,2,$20-$69,"Project requiring expertise in SEO Writing, Content Writing, Copywriting, Creative Writing",Completed
PJ0134,writing,"SEO Writing, Content Writing, Technical Writing, Copywriting, Blog Writing",High,3,6250.0,2,$28-$54,"Project requiring expertise in SEO Writing, Content Writing, Technical Writing, Copywriting, Blog Writing",In Progress
PJ0135,marketing,"SEO, Email Marketing, PPC, Content Marketing",Low,4,9200.0,7,$15-$64,"Project requiring expertise in SEO, Email Marketing, PPC, Content Marketing",Open
PJ0136,marketing,"Analytics, PPC, Digital Marketing",Medium,1,4950.0,1,$20-$96,"Project requiring expertise in Analytics, PPC, Digital Marketing",Completed
PJ0137,programming,"Angular, Vue.js, C++",Medium,7,14400.0,2,$15-$38,"Project requiring expertise in Angular, Vue.js, C++",Open
PJ0138,programming,"Java, JavaScript, PHP",Medium,11,3000.0,8,$30-$53,"Project requiring expertise in Java, JavaScript, PHP",Completed
PJ0139,programming,"SQL, Java, Python, React, C++",High,12,13000.0,1,$27-$91,"Project requiring expertise in SQL, Java, Python, React, C++",Completed
PJ0140,programming,"Ruby, SQL, React, C++",Medium,5,1950.0,2,$27-$87,"Project requiring expertise in Ruby, SQL, React, C++",Open
PJ0141,design,"Logo Design, UX Design",Low,2,7600.0,8,$18-$68,"Project requiring expertise in Logo Design, UX Design",Completed
PJ0142,marketing,"PPC, SEO, Analytics",Low,11,5900.0,2,$24-$97,"Project requiring expertise in PPC, SEO, Analytics",Completed
PJ0143,design,"UX Design, Adobe XD, Photoshop, UI Design",Low,12,2100.0,8,$26-$43,"Project requiring expertise in UX Design, Adobe XD, Photoshop, UI Design",Completed
PJ0144,writing,"Content Writing, Blog Writing, Copywriting",Low,8,3800.0,4,$22-$73,"Project requiring expertise in Content Writing, Blog Writing, Copywriting",In Progress
PJ0145,design,"Adobe XD, Logo Design, Figma, UX Design, Graphic Design",Medium,8,2250.0,5,$20-$46,"Project requiring expertise in Adobe XD, Logo Design, Figma, UX Design, Graphic Design",Open
PJ0146,design,"Photoshop, Figma, UI Design",Medium,11,2100.0,6,$17-$46,"Project requiring expertise in Photoshop, Figma, UI Design",Open
PJ0147,marketing,"Social Media Marketing, SEO, Analytics, Content Marketing",Medium,11,3000.0,3,$22-$74,"Project requiring expertise in Social Media Marketing, SEO, Analytics, Content Marketing",Open
PJ0148,writing,"Copywriting, Creative Writing",High,11,12750.0,5,$22-$37,"Project requiring expertise in Copywriting, Creative Writing",Open
PJ0149,programming,"Node.js, Vue.js",High,12,16500.0,2,$30-$70,"Project requiring expertise in Node.js, Vue.js",Open
PJ0150,writing,"Blog Writing, Content Writing, SEO Writing, Copywriting, Technical Writing",Medium,8,14400.0,6,$17-$93,"Project requiring expertise in Blog Writing, Content Writing, SEO Writing, Copywriting, Technical Writing",In Progress
PJ0151,writing,"Copywriting, Blog Writing",High,5,12250.0,7,$29-$92,"Project requiring expertise in Copywriting, Blog Writing",Open
PJ0152,writing,"Blog Writing, Content Writing, Creative Writing",Medium,9,13950.0,1,$27-$81,"Project requiring expertise in Blog Writing, Content Writing, Creative Writing",Open
PJ0153,design,"UI Design, Logo Design, Photoshop",Low,8,6300.0,2,$28-$91,"Project requiring expertise in UI Design, Logo Design, Photoshop",Completed
PJ0154,design,"Photoshop, Illustrator, Adobe XD, UX Design",Medium,1,5850.0,5,$25-$69,"Project requiring expertise in Photoshop, Illustrator, Adobe XD, UX Design",In Progress
PJ0155,writing,"Blog Writing, Creative Writing",Medium,6,14250.0,2,$17-$62,"Project requiring expertise in Blog Writing, Creative Writing",Completed
PJ0156,writing,"Copywriting, Creative Writing, Blog Writing, SEO Writing, Technical Writing",Medium,10,9150.0,4,$16-$39,"Project requiring expertise in Copywriting, Creative Writing, Blog Writing, SEO Writing, Technical Writing",In Progress
PJ0157,marketing,"SEO, PPC, Content Marketing, Social Media Marketing",Medium,12,9750.0,3,$25-$92,"Project requiring expertise in SEO, PPC, Content Marketing, Social Media Marketing",Open
PJ0158,design,"Photoshop, Adobe XD, Illustrator, UX Design, Figma",High,1,16500.0,7,$22-$48,"Project requiring expertise in Photoshop, Adobe XD, Illustrator, UX Design, Figma",Completed
PJ0159,design,"UI Design, Figma, Graphic Design, Adobe XD",High,1,10000.0,4,$22-$91,"Project requiring expertise in UI Design, Figma, Graphic Design, Adobe XD",In Progress
PJ0160,writing,"Content Writing, Technical Writing, SEO Writing, Blog Writing",Low,9,6800.0,2,$29-$59,"Project requiring expertise in Content Writing, Technical Writing, SEO Writing, Blog Writing",Open
PJ0161,programming,"Java, Vue.js, PHP, Node.js, Angular",Medium,8,2700.0,1,$25-$90,"Project requiring expertise in Java, Vue.js, PHP, Node.js, Angular",Completed
PJ0162,marketing,"PPC, Content Marketing, Digital Marketing, Email Marketing, Social Media Marketing",Medium,1,3750.0,3,$27-$53,"Project requiring expertise in PPC, Content Marketing, Digital Marketing, Email Marketing, Social Media Marketing",Open
PJ0163,design,"UX Design, Logo Design, Photoshop, Illustrator",Low,8,4900.0,2,$30-$86,"Project requiring expertise in UX Design, Logo Design, Photoshop, Illustrator",Open
PJ0164,writing,"Blog Writing, Copywriting, Content Writing, Technical Writing, SEO Writing",Medium,11,4800.0,6,$15-$63,"Project requiring expertise in Blog Writing, Copywriting, Content Writing, Technical Writing, SEO Writing",In Progress
PJ0165,marketing,"Content Marketing, Analytics, Digital Marketing",High,12,10750.0,4,$21-$48,"Project requiring expertise in Content Marketing, Analytics, Digital Marketing",In Progress
PJ0166,programming,"Vue.js, Angular, JavaScript, Node.js, PHP",Medium,7,14400.0,5,$29-$75,"Project requiring expertise in Vue.js, Angular, JavaScript, Node.js, PHP",Open
PJ0167,writing,"Creative Writing, SEO Writing",Low,10,5200.0,5,$26-$80,"Project requiring expertise in Creative Writing, SEO Writing",Completed
PJ0168,marketing,"PPC, Digital Marketing, Email Marketing, Analytics, Content Marketing",Low,9,800.0,2,$29-$31,"Project requiring expertise in PPC, Digital Marketing, Email Marketing, Analytics, Content Marketing",In Progress
PJ0169,design,"Logo Design, Illustrator",Low,8,9600.0,4,$20-$36,"Project requiring expertise in Logo Design, Illustrator",In Progress
