Freelancer_ID,Skills,Experience_Level,Years_of_Experience,Description,Projects,Budget_Hourly,Budget_Project,Location
F0021,"Marketing & SEO: linkedin marketing, google ads, google tag manager, analytics & tracking setup; General: ",Intermediate,6,"Intermediate Marketing & SEO professional with experience in linkedin marketing, google ads, google tag manager, analytics & tracking setup.",Staff where official focus condition. for Mays-Soto,17,$910-$2798,Mumbai
F0022,"Business & Consulting: organizational design & effectiveness, business modeling, business innovation; General: agile",Expert,5,"Expert Business & Consulting professional with experience in organizational design & effectiveness, business modeling, business innovation.","Story country commercial include ball investment. for Miller Inc; Name college threat hand hotel. for Johnson PLC; Front shoulder suffer report. for Dennis, Williams and Fox",38,$4660-$6876,Chennai
F0023,"Writing & Content Creation: article writing, journalism writing, content seo, content analysis; General: git, api",Expert,10,"Expert Writing & Content Creation professional with experience in article writing, journalism writing, content seo, content analysis.","Clearly court while shoulder card even necessary fish. for Donaldson, Johnson and Jordan; Shoulder record later station laugh significant leader sometimes. for Bradford-Patterson",48,$2255-$7510,Delhi
F0024,"Translation & Languages: english to danish translation, vietnamese, swedish, french to german translation; General: ",Expert,5,"Expert Translation & Languages professional with experience in english to danish translation, vietnamese, swedish, french to german translation.","Want tax herself yet. for Nelson-Cherry; Certainly keep operation action feeling several either. for Craig, Hopkins and Ashley; Kitchen nature response interest series agent measure. for Ramos, Ellis and Davenport; Everything individual fact support charge meet. for Hanna-Mcdonald",60,$2525-$9250,Kolkata
F0025,"Marketing & SEO: social media engagement, content writing; General: git",Expert,12,"Expert Marketing & SEO professional with experience in social media engagement, content writing.",Positive once discover provide else. for Sullivan-Sexton,74,$1988-$7465,Chennai
F0026,"Writing & Content Creation: blog writing, blog content, creative writing; General: git, project management",Intermediate,4,"Intermediate Writing & Content Creation professional with experience in blog writing, blog content, creative writing.","Health else specific mean alone into allow back. for Barnes Group; Response source language effort head. for Sweeney, White and Bryant; Sometimes start again explain. for Davis-Lewis",23,$769-$2507,Pune
F0027,"Cybersecurity: firewall, security testing, security infrastructure; General: ",Entry Level,10,"Entry Level Cybersecurity professional with experience in firewall, security testing, security infrastructure.",Across save or process. for Rodriguez-Sullivan; Feel deal instead main anything beat small almost. for Camacho-Ball,11,$376-$721,Pune
F0028,"Writing & Content Creation: social media content, academic writing; General: api",Expert,7,"Expert Writing & Content Creation professional with experience in social media content, academic writing.","Decade ever single than increase standard. for Martinez, Nash and Pham; Item build sense career value. for Stone-Miller; Institution land never friend group system whatever. for Taylor PLC; Unit evidence newspaper. for Castro, Fitzgerald and Reid; World no only oil ground. for Chapman, Werner and Campbell",50,$3973-$6350,Delhi
F0029,"Marketing & SEO: email marketing, social media marketing, seo keyword research, search engine optimization; General: git, api",Intermediate,10,"Intermediate Marketing & SEO professional with experience in email marketing, social media marketing, seo keyword research, search engine optimization.","Long fire through likely sport name. for Sheppard, Thomas and Burnett; Rock action social week will. for Navarro, Garcia and Ross",21,$1128-$1645,Chennai
F0030,"Education & Training: training presentation, training, academic content development, program management; General: api, project management",Intermediate,8,"Intermediate Education & Training professional with experience in training presentation, training, academic content development, program management.",Defense later base question nice. for Hall-Martinez; Over citizen do friend western until. for Cole Inc; Story south particular true bar success. for Smith LLC,16,$575-$2749,Chennai
F0031,"Business & Consulting: business modeling, business consulting; General: ",Entry Level,5,"Entry Level Business & Consulting professional with experience in business modeling, business consulting.","List manage question street usually voice. for Harper, Lee and Mullins",13,$271-$604,Delhi
F0032,"Marketing & SEO: analytics & tracking setup, content writing; General: ",Expert,6,"Expert Marketing & SEO professional with experience in analytics & tracking setup, content writing.","Science administration thus. for Moore and Sons; Important suddenly will think technology camera. for Thompson Inc; Mean blood you name. for Garcia, Buckley and Berry; College offer state whole. for Gomez and Sons; Drive product price member central reason outside stay. for Williams Ltd",38,$3951-$9814,Mumbai
F0033,"Web Development: virtual reality, api documentation, gatsby.js; General: git, agile",Intermediate,4,"Intermediate Web Development professional with experience in virtual reality, api documentation, gatsby.js.","Pick between hour pretty. for Waller, Perry and Golden",22,$1327-$1524,Pune
F0034,"Education & Training: teaching english, exam preparation, program evaluation, training plan; General: project management, agile",Intermediate,8,"Intermediate Education & Training professional with experience in teaching english, exam preparation, program evaluation, training plan.",Person institution race us institution use interesting trip. for Rodriguez-Sullivan; However change court little wall director budget. for Perkins-Woodward,25,$1158-$2745,Delhi
F0035,"UI/UX Design: design enhancement, user interface design; General: ",Entry Level,9,"Entry Level UI/UX Design professional with experience in design enhancement, user interface design.",Opportunity young allow save let your. for Gonzalez and Sons,5,$162-$983,Pune
F0036,"Education & Training: education, higher education, instructional design, tutoring; General: sql",Expert,8,"Expert Education & Training professional with experience in education, higher education, instructional design, tutoring.",Democrat college true station. for Lopez-Stephens; Major get bit. for Foster and Sons; When law design management whatever effect. for Wallace-Boyd,65,$2264-$7048,Kolkata
F0037,"DevOps: devops, openshift, serverless computing, azure cosmos db; General: api, project management",Intermediate,6,"Intermediate DevOps professional with experience in devops, openshift, serverless computing, azure cosmos db.","Base very someone miss. for Hall-White; Worker charge standard wonder process share. for Klein and Sons; Look responsibility myself sometimes voice. for Pierce, Montoya and Williams",19,$1087-$1786,Chennai
F0038,"Business & Consulting: sales development, corporate strategy, business writing, corporate governance; General: ",Intermediate,7,"Intermediate Business & Consulting professional with experience in sales development, corporate strategy, business writing, corporate governance.","Best happy they. for Richards-Taylor; Political lead note. for Perkins-Lee; Provide upon mission six. for Cox, Williams and Howard",23,$1349-$1912,Mumbai
F0039,"Database Management: mongodb, oracle database; General: ",Intermediate,9,"Intermediate Database Management professional with experience in mongodb, oracle database.",Soon point yes rise allow put. for Bush-Gonzalez,19,$1180-$2733,Mumbai
F0040,"Marketing & SEO: google analytics, ecommerce marketing, seo strategy; General: git, sql",Entry Level,10,"Entry Level Marketing & SEO professional with experience in google analytics, ecommerce marketing, seo strategy.","Into town follow movie. for Lewis-White; Situation summer large among. for Guzman, Pierce and Lawrence",7,$406-$553,Mumbai
F0041,"Business & Consulting: brand consulting, sales leadership; General: project management, api",Entry Level,10,"Entry Level Business & Consulting professional with experience in brand consulting, sales leadership.","Series air mean surface century and no. for Burnett-Avery; Big board whole per yes. for Lopez, Mcdaniel and Martinez",7,$304-$605,Pune
F0042,"Project Management: team management, project timelines, digital project management, project delivery; General: agile",Expert,6,"Expert Project Management professional with experience in team management, project timelines, digital project management, project delivery.",Program east brother every why method political physical. for Daniel-Robinson; Movie cold property. for Scott LLC,63,$4499-$8212,Delhi
F0043,"Business & Consulting: business modeling, business process modeling, brand consulting, business research; General: project management, sql",Expert,12,"Expert Business & Consulting professional with experience in business modeling, business process modeling, brand consulting, business research.",Response any on thank. for Glover LLC; Understand theory drop throughout letter. for Webb and Sons; Individual poor activity opportunity. for Carter-Decker,48,$4785-$8319,Mumbai
F0044,"Education & Training: curriculum design, career coaching, distance education; General: ",Expert,4,"Expert Education & Training professional with experience in curriculum design, career coaching, distance education.","Other particular might player candidate quality. for Rodriguez Inc; Second popular feel. for Carter, Lee and Ramos; Challenge result give rather treat economic. for Bartlett-Kennedy; Along role idea only dream. for Schneider PLC",51,$3240-$7500,Chennai
F0045,"Translation & Languages: english to russian translation, swahili, portuguese to english translation; General: sql",Intermediate,7,"Intermediate Translation & Languages professional with experience in english to russian translation, swahili, portuguese to english translation.",Read dark to find station car. for Randolph Group; Would character letter activity receive field. for Allen-Taylor; Investment live begin compare total pressure particularly. for Mayer-Figueroa; Although nation sense where and wind professor senior. for Thomas PLC; Pass help travel story amount set. for Reyes-Galloway,29,$812-$2146,Mumbai
F0046,"Marketing & SEO: social media optimization, google optimize, seo keyword research, google analytics; General: project management, api",Expert,3,"Expert Marketing & SEO professional with experience in social media optimization, google optimize, seo keyword research, google analytics.","Only save your interesting let own discover worker. for Johnson, Smith and Lam",68,$4000-$5743,Delhi
F0047,"Data Science: artificial neural network, dashboard, tableau; General: project management",Entry Level,1,"Entry Level Data Science professional with experience in artificial neural network, dashboard, tableau.",Well eye standard sure deep. for Ortiz-Valdez,15,$174-$755,Mumbai
F0048,"Data Science: machine learning, rapidminer, data visualization; General: project management, agile",Entry Level,5,"Entry Level Data Science professional with experience in machine learning, rapidminer, data visualization.","Huge fast their mind line cut option. for Winters, Fuentes and Lyons",7,$96-$581,Kolkata
F0049,"Web Development: software developer, mysql; General: ",Intermediate,8,"Intermediate Web Development professional with experience in software developer, mysql.","Also station material raise population eight guy. for Nelson, Randolph and Smith; Maybe sing worry traditional executive loss society these. for Stewart-Gomez; Term ready law popular main left now. for Cisneros-Ferrell",28,$1284-$2477,Mumbai
F0050,"Data Science: chatgpt, data visualization, pandas; General: ",Entry Level,10,"Entry Level Data Science professional with experience in chatgpt, data visualization, pandas.",Reflect eat drive purpose sign decade size. for Riggs Group; Safe pretty history main make personal woman. for Castro PLC,13,$95-$628,Chennai
F0051,"Web Development: database, software architecture & design, flask, interactive design; General: git, api",Expert,9,"Expert Web Development professional with experience in database, software architecture & design, flask, interactive design.","Similar cup glass benefit trip. for Parker, Foster and Jordan; Option and pick wide most test test. for Turner-Jones; Successful account several mind perhaps Congress focus. for Crosby-Johnson; Especially each war behind herself collection. for White-Williams; Toward when statement fine again. for Mayer, Mahoney and Perkins",51,$1585-$6464,Kolkata
F0052,"Project Management: resource allocation, project management professional; General: project management",Intermediate,10,"Intermediate Project Management professional with experience in resource allocation, project management professional.","Central fish suffer message sign his hotel. for Williams-Johnson; Level bit raise mind party race. for Dean, Gilbert and Wilcox",27,$952-$2617,Kolkata
F0053,"Database Management: database management, sql server integration services, nosql database, oracle database administration; General: ",Expert,7,"Expert Database Management professional with experience in database management, sql server integration services, nosql database, oracle database administration.",Particularly defense partner health author year energy. for Shaffer Group; Level be between nor. for Elliott-Page; Wind you somebody lot good more them. for Harris-Nelson,52,$4614-$8544,Pune
F0054,"Business & Consulting: organizational structure, business development, business plan, business coaching; General: git",Intermediate,4,"Intermediate Business & Consulting professional with experience in organizational structure, business development, business plan, business coaching.","Pretty page like large better start power. for Wade-Sanchez; Military grow name. for Reid, Lewis and Hunter; Other region happen. for Lambert-Henson",25,$1135-$1739,Kolkata
F0055,"Web Development: web application, software architecture & design; General: sql, git",Intermediate,4,"Intermediate Web Development professional with experience in web application, software architecture & design.",Interesting central themselves debate notice theory. for Miller-Morgan,15,$1448-$1757,Mumbai
F0056,"Business & Consulting: corporate social responsibility, organizational development, business planning & strategy, business intelligence software; General: sql",Intermediate,9,"Intermediate Business & Consulting professional with experience in corporate social responsibility, organizational development, business planning & strategy, business intelligence software.","Worker star out shake. for Drake, Wright and Willis; We say ten book develop. for Mccoy-Fisher; Some figure old follow interest. for Thompson, Hoover and Porter; Hit large set remain detail think between have. for Sanchez, Williams and Rollins; West indeed floor fire lot. for Gonzalez PLC",16,$1061-$2627,Bangalore
F0057,"Web Development: html5, django; General: ",Entry Level,10,"Entry Level Web Development professional with experience in html5, django.","White dinner note kitchen society establish tend. for Nguyen-Kerr; Close notice arrive picture service. for Williams, Franco and Stout",10,$328-$528,Chennai
F0058,"Writing & Content Creation: ghostwriting, content analysis, journalism writing, editorial writing; General: agile",Entry Level,2,"Entry Level Writing & Content Creation professional with experience in ghostwriting, content analysis, journalism writing, editorial writing.",Often summer night staff air call. for Trujillo Ltd; Family center check great. for Gutierrez Group,9,$112-$937,Kolkata
F0059,"Database Management: database design, sql, oracle database; General: api, git",Entry Level,5,"Entry Level Database Management professional with experience in database design, sql, oracle database.","May likely management medical protect. for Taylor, Adams and Robinson; Over alone four standard fear why. for Gonzalez-Li",9,$421-$617,Bangalore
F0060,"Writing & Content Creation: speech writing, content planning, product documentation; General: sql",Expert,4,"Expert Writing & Content Creation professional with experience in speech writing, content planning, product documentation.","Summer act ok lead at participant. for Price, Lopez and Ortiz; Improve defense agree peace need year. for Snow Group; Begin language success enjoy second make. for Zuniga, English and Rowe; Environmental age name heart language information final. for Sherman-Scott; Daughter up whose office style. for Harris Ltd",53,$1968-$8512,Bangalore
F0061,"Web Development: web design, database; General: agile",Entry Level,6,"Entry Level Web Development professional with experience in web design, database.","Behavior quickly trial owner bed. for Smith, Lopez and Gardner",12,$138-$956,Bangalore
F0062,"Marketing & SEO: content writing, influencer marketing, facebook pixel setup & optimization; General: agile",Intermediate,3,"Intermediate Marketing & SEO professional with experience in content writing, influencer marketing, facebook pixel setup & optimization.",Future simply blood still. for Ibarra Ltd,18,$953-$1733,Pune
F0063,"Business & Consulting: leadership skills, strategic plan, business plan; General: project management, git",Entry Level,8,"Entry Level Business & Consulting professional with experience in leadership skills, strategic plan, business plan.","Leader control skill here. for Baker, Patterson and Miller; Professor draw time poor away like. for Cole, Stanley and Nash",7,$440-$730,Chennai
F0064,"Mobile Development: react native, android app development, kotlin; General: ",Entry Level,10,"Entry Level Mobile Development professional with experience in react native, android app development, kotlin.","Manager money point experience car. for Garcia, Baker and Harding",13,$339-$912,Delhi
F0065,"Translation & Languages: norwegian, urdu to english translation, french to english translation; General: api, sql",Intermediate,3,"Intermediate Translation & Languages professional with experience in norwegian, urdu to english translation, french to english translation.",Tough career Mr. for Richardson and Sons,20,$916-$2514,Pune
F0066,"Marketing & SEO: off-page seo, marketing analytics; General: git, api",Intermediate,4,"Intermediate Marketing & SEO professional with experience in off-page seo, marketing analytics.","Must sign sea within main theory yard. for Davis-Johnson; In worker do some. for Brown and Sons; According young since reveal science affect. for Stewart-Smith; Green affect interview. for Cox, Booth and Cruz; Piece table station new into eat partner break. for Franklin-Jimenez",24,$985-$2564,Delhi
F0067,"Data Science: bayesian statistics, model tuning, exploratory data analysis, microsoft power bi; General: ",Entry Level,1,"Entry Level Data Science professional with experience in bayesian statistics, model tuning, exploratory data analysis, microsoft power bi.","Indeed national debate. for Hurst, Brown and Conner; Doctor reduce leg movie not too wife. for Martinez PLC",15,$341-$600,Kolkata
F0068,"Marketing & SEO: content marketing, ecommerce marketing; General: agile, git",Intermediate,4,"Intermediate Marketing & SEO professional with experience in content marketing, ecommerce marketing.",One everything meeting will large PM serious. for Wagner Ltd; Father together protect old career owner will. for Davis-Sims; Baby rate scene describe full. for Torres-Baxter,22,$1126-$2005,Chennai
F0069,"Education & Training: learning theory, training, course, academic writing; General: api",Entry Level,9,"Entry Level Education & Training professional with experience in learning theory, training, course, academic writing.","Town face item head. for Johnson, Johnson and Arnold; Start whom heavy window industry product. for Esparza, Bailey and Moran",15,$485-$758,Mumbai
F0070,"Writing & Content Creation: blog content, academic writing, content localization; General: api, project management",Expert,4,"Expert Writing & Content Creation professional with experience in blog content, academic writing, content localization.","Discover former thought many avoid boy. for Lyons, Johnson and Jackson; War now big everyone message moment. for Proctor Group",69,$4844-$8216,Mumbai
F0071,"Cybersecurity: vpn, personal information protection & electronic documents act; General: sql",Expert,7,"Expert Cybersecurity professional with experience in vpn, personal information protection & electronic documents act.",Sister go standard style maybe company. for Kelly-Miller,61,$4755-$9366,Chennai
F0072,"Education & Training: life coaching, program evaluation, academic proofreading; General: git, sql",Entry Level,1,"Entry Level Education & Training professional with experience in life coaching, program evaluation, academic proofreading.","Very different answer time. for Patterson, Miranda and Henderson",5,$355-$692,Pune
F0073,"DevOps: docker, aws cloudformation, azure devops server; General: ",Expert,4,"Expert DevOps professional with experience in docker, aws cloudformation, azure devops server.","Conference middle any teach close forget. for Greer-Carter; Suddenly think magazine culture child require recent. for Tran Group; Investment between more parent run national. for Schwartz, Collins and Mcneil",66,$2410-$7118,Delhi
F0074,"Data Science: python, business intelligence, time series analysis, machine learning model; General: ",Expert,12,"Expert Data Science professional with experience in python, business intelligence, time series analysis, machine learning model.","Walk purpose usually both within physical. for Curtis, Beard and Brown; Music discuss hotel Mrs character. for Taylor LLC; About Democrat these. for Haley Ltd",73,$1739-$6811,Pune
F0075,"Graphic & Visual Design: print design, 2d design; General: git, project management",Expert,11,"Expert Graphic & Visual Design professional with experience in print design, 2d design.","Receive memory newspaper political behind rise. for Harris-Hunt; Side affect sit scene skin will. for Kelly, Johnson and Rocha; For something short space fill serve. for Evans-Baker; Training happy executive expert. for Horton LLC",71,$1680-$5954,Chennai
F0076,"Database Management: data modeling, postgresql, sql server integration services; General: ",Intermediate,10,"Intermediate Database Management professional with experience in data modeling, postgresql, sql server integration services.","Seven window later long. for Winters, Khan and Castillo; Ten high sign training field. for Jones LLC; High blue fly themselves police. for Frank, Hughes and West; World expect maintain significant sign make cold. for Martinez PLC; Quite point training lead different. for Price-Schneider",18,$1091-$1759,Mumbai
F0077,"Mobile Development: android sdk, mobile ui designer, ios development; General: agile, api",Intermediate,7,"Intermediate Mobile Development professional with experience in android sdk, mobile ui designer, ios development.","Ahead account west including role stand. for Adams-Morgan; Better natural everybody down. for Johnson, Short and Luna; Management appear sign side yard. for Rivas Group",30,$1109-$2054,Mumbai
F0078,"DevOps: automation, kubernetes, ansible, aws cloudformation; General: agile",Entry Level,5,"Entry Level DevOps professional with experience in automation, kubernetes, ansible, aws cloudformation.",Young her executive discuss trade. for Greene-Wright; Back science blue only pretty mother. for Stewart-Cole,7,$254-$633,Delhi
F0079,"Data Science: data interpretation, visualization, numpy; General: ",Intermediate,4,"Intermediate Data Science professional with experience in data interpretation, visualization, numpy.",Position themselves party believe. for Roman-Fuller,22,$832-$2749,Chennai
F0080,"Data Science: data segmentation, hypothesis testing, bigquery, machine learning; General: sql, project management",Intermediate,4,"Intermediate Data Science professional with experience in data segmentation, hypothesis testing, bigquery, machine learning.","Place future skin management. for Burke and Sons; Radio life class usually. for Dickson, Little and Wright",22,$830-$2288,Delhi
F0081,"Business & Consulting: sales leadership, brand consulting, business development, partnership development; General: ",Expert,11,"Expert Business & Consulting professional with experience in sales leadership, brand consulting, business development, partnership development.","Option claim property such. for Juarez Ltd; Degree moment act travel find social. for Morton, Walsh and Jones",65,$4307-$9936,Bangalore
F0082,"Marketing & SEO: social media engagement, google search console; General: git",Expert,10,"Expert Marketing & SEO professional with experience in social media engagement, google search console.",Left money head mind us conference quickly. for Smith Inc,30,$3944-$6629,Mumbai
F0083,"DevOps: aws cloudfront, azure blockchain service; General: git",Intermediate,6,"Intermediate DevOps professional with experience in aws cloudfront, azure blockchain service.","Note feel without century attention look. for Davis-James; Natural reveal PM. for White and Sons; Pretty such stop should although none great. for Williams and Sons; Modern then someone down be. for Kennedy, Velez and Diaz",22,$923-$2900,Delhi
F0084,"Writing & Content Creation: product documentation, content creation, research papers; General: sql",Entry Level,2,"Entry Level Writing & Content Creation professional with experience in product documentation, content creation, research papers.",Property we real mother right community. for Myers-Carlson,8,$55-$717,Bangalore
F0085,"Data Science: big data, statistics, python; General: ",Expert,4,"Expert Data Science professional with experience in big data, statistics, python.","Would item hundred office less drug well. for Price, Arias and Merritt",48,$4008-$9066,Mumbai
F0086,"Marketing & SEO: social media account setup, content seo, google optimize, seo strategy; General: project management",Intermediate,4,"Intermediate Marketing & SEO professional with experience in social media account setup, content seo, google optimize, seo strategy.",Enter measure movement deep term. for Jones-Hall,19,$966-$2210,Mumbai
F0087,"Business & Consulting: sales management, business services; General: api",Intermediate,10,"Intermediate Business & Consulting professional with experience in sales management, business services.","Ability important exist citizen big. for Johnson-Velez; Owner product finish majority past continue standard their. for Schmidt PLC; With environment voice. for Fisher, Evans and Hernandez; Three hit woman team management example theory. for Patterson Ltd; Later result color second general answer. for Smith, Lin and Morgan",20,$1008-$2858,Kolkata
F0088,"Web Development: wordpress plugin, dbt, php; General: ",Entry Level,4,"Entry Level Web Development professional with experience in wordpress plugin, dbt, php.",Off fish with owner board. for Russo and Sons; Plant describe year tough bring any trouble. for Small and Sons,6,$247-$707,Delhi
F0089,"Data Science: numpy, report writing; General: ",Expert,6,"Expert Data Science professional with experience in numpy, report writing.","None vote world daughter rate century only. for Smith Group; Film time more president now position take. for Bolton, Parker and Foster; Face someone visit trip former national. for Bryant, Baker and Scott",73,$3995-$9419,Delhi
F0090,"Data Science: recommendation system, data scraping, big data, report writing; General: project management, api",Expert,11,"Expert Data Science professional with experience in recommendation system, data scraping, big data, report writing.","Present end well responsibility key however. for Campbell-Berry; Early big cost would account. for Ryan, Chavez and Brown; Draw crime past two way base general rise. for May, Bean and Ford; Responsibility foreign Mr face least prevent within. for Gonzales PLC; Trouble rise individual a tell expect only. for Williams, Hendricks and Johns",58,$1703-$5078,Kolkata
F0091,"Marketing & SEO: facebook advertising, analytics & tracking setup, search engine optimization, social media engagement; General: api, git",Expert,6,"Expert Marketing & SEO professional with experience in facebook advertising, analytics & tracking setup, search engine optimization, social media engagement.",Support town think nation. for Pruitt-Martinez,48,$3943-$9438,Bangalore
F0092,"Marketing & SEO: email marketing, seo audit, content seo, google adsense; General: ",Intermediate,10,"Intermediate Marketing & SEO professional with experience in email marketing, seo audit, content seo, google adsense.","Choose rate road church manager door hospital. for Brown PLC; Part miss catch. for Davis and Sons; Behind rule along paper. for Pena-Ryan; Together manage anyone understand quickly owner local. for Gonzalez, Baker and Ford",20,$674-$1629,Chennai
F0093,"DevOps: gitlab, jenkins, azure iot core, aws cloudfront; General: agile",Expert,6,"Expert DevOps professional with experience in gitlab, jenkins, azure iot core, aws cloudfront.",Trip assume above marriage peace. for Rogers-Schultz; Little head like few. for Turner-Alexander; Support reduce training arrive. for Dawson Ltd; Safe front site someone management recently executive. for Rivera-Leon; Full within direction carry rich mind ability example. for Stanley Ltd,46,$3091-$7951,Chennai
F0094,"Cybersecurity: security infrastructure, firewall, information security consultation; General: agile, sql",Entry Level,9,"Entry Level Cybersecurity professional with experience in security infrastructure, firewall, information security consultation.","State voice prepare. for Houston-Washington; Student type town decade. for Brown, Reid and Smith",11,$460-$600,Mumbai
F0095,"UI/UX Design: wireframing, ux & ui, user experience design, usability testing; General: project management",Expert,4,"Expert UI/UX Design professional with experience in wireframing, ux & ui, user experience design, usability testing.","Carry trade number like laugh. for Maddox-Dean; Fund admit question choice bag step idea. for Ruiz and Sons; First these citizen once. for Walker LLC; Himself purpose travel house. for Thomas, Simpson and Jones",54,$1786-$7065,Chennai
F0096,"Database Management: transact-sql, mysql, mariadb; General: ",Expert,9,"Expert Database Management professional with experience in transact-sql, mysql, mariadb.","Its behavior plan. for Marshall PLC; Lead bad against mention all program. for Richardson, Russell and Noble",69,$4326-$7980,Chennai
F0097,"Business & Consulting: business consulting, corporate strategy, business operations, business plan; General: ",Intermediate,3,"Intermediate Business & Consulting professional with experience in business consulting, corporate strategy, business operations, business plan.",In garden phone dream law spring sort story. for Drake PLC,23,$723-$2326,Bangalore
